brand,carName,carImg,saleVolume,price,manufacturer,rank,carModel,energyType,marketTime,insure
特斯拉,Model Y,https://p3-dcd.byteimg.com/img/motor-img/369ece92bbd1c98470e0b22605b78f31~tplv-resize:640:0.png,51117,"[26.39, 34.99]",特斯拉中国,1,中型SUV,纯电动,2022.08,4年或8万公里
比亚迪,海鸥,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/fc1c09863a48441d86e99c757790ab02~tplv-resize:640:0.png,34841,"[7.38, 8.98]",比亚迪,2,小型车,纯电动,2023.04,6年或15万公里
大众,朗逸,https://p3-dcd.byteimg.com/img/motor-img/28d677a5f94a5a24103f088dd94c8515~tplv-resize:640:0.png,33891,"[7.49, 12.69]",上汽大众,3,紧凑型车,汽油,2023.09,3年或10万公里
日产,轩逸,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f5483079e6094fb898c14f3b3d6c1493~tplv-resize:640:0.png,32894,"[8.56, 16.29]",东风日产,4,紧凑型车,汽油电驱,2023.03,5年或15万公里
比亚迪,秦PLUS DM-i,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b16feb96960c4b178686faea93e71f3c~tplv-resize:640:0.png,28154,"[9.48, 16.08]",比亚迪,5,紧凑型车,插电式混合动力,2023.02,6年或15万公里
埃安,AION Y,https://p9-dcd.byteimg.com/img/motor-img/a4dcf08d322941eb5259fbcb35ead82e~tplv-resize:640:0.png,26713,"[11.98, 17.98]",广汽埃安新能源,6,紧凑型SUV,纯电动,2023.03,4年或15万公里
本田,思域,https://p3-dcd.byteimg.com/img/motor-img/af835d978de92b8342d900c8473c8d88~tplv-resize:640:0.png,26294,"[10.19, 15.99]",东风本田,7,紧凑型车,汽油,2022.12,3年或10万公里
大众,速腾,https://p9-dcd.byteimg.com/img/motor-img/44c013067df2032cc03b6031eb68bf05~tplv-resize:640:0.png,25566,"[10.19, 14.69]",一汽-大众,8,紧凑型车,汽油,2022.06,3年或10万公里
比亚迪,元PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0a5a6f5f1e4e417f823a51d894fa7345~tplv-resize:640:0.png,24272,"[13.28, 16.2]",比亚迪,9,紧凑型SUV,纯电动,2023.09,6年或15万公里
比亚迪,宋PLUS DM-i,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f9d266bdf7d44b418eee09141be33ec0~tplv-resize:640:0.png,23100,"[14.48, 20.88]",比亚迪,10,紧凑型SUV,插电式混合动力,2023.06,6年或15万公里
埃安,AION S,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/895384c405aa4a78828e154e949fb36e~tplv-resize:640:0.png,22648,"[13.98, 16.58]",广汽埃安新能源,11,紧凑型车,纯电动,2023.09,4年或15万公里
长安,长安CS75 PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/dec41a8d4fcc422bbb34c1a71dd76a1d~tplv-resize:640:0.png,22387,"[10.29, 14.09]",长安汽车,12,紧凑型SUV,汽油,2023.04,3年或10万公里
比亚迪,海豚,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/146c59167c394ddb9e61d3ec6315c2c8~tplv-resize:640:0.png,22096,"[11.68, 13.68]",比亚迪,13,小型车,纯电动,2022.12,6年或15万公里
丰田,锋兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2e716928f981407b80c5e8772b8141a2~tplv-resize:640:0.png,19839,"[10.98, 16.88]",广汽丰田,14,紧凑型SUV,汽油,2023.03,3年或10万公里
